id_r,cue,resp_1,resp_2,resp_3,incorrect
66704,Ebene,ebenerdig,WORD,Hochhaus,2.etage
252001,Cola,Mexico,Diabetes,WORD,Korupt
121086,Stil,Mode,Klamotten,WORD,anziehsachen
274331,Dose,Soda,WORD,Konserve,Pringels
216246,Langeweile,Kinder,Warten,WORD,keine Hobbies
111794,Rum,WORD,Brasilien,Seefahrer,Rumkugeln
118601,Aktivierung,einschalten,motivieren,WORD,stimmulieren
206867,Latein,Sprache,WORD,römisch,romansch
279832,Schnitt,Verletzungen,etwas beenden,WORD,Hasrschnitt
48712,Haltung,WORD,Stolz,aufrecht,Posture
182373,Transport,Lastwagen,WORD,Schwertransport,Cargo-Velo
223287,frech,vorlaut,WORD,unverschämt,nicht regelkonform
170441,Ausrichtung,Orientierung,WORD,Lage,Gesinntheit
87112,Sauerkraut,WORD,saurr,Mittagessen,igitt
36460,Österreich,EU,Alpenmilch,WORD,Kleinweisertal
84405,Materie,Bestandteil,WORD,Physik,Universun
391372,Täter,Opfer,Wegsperren,WORD,"Profil, Profiler"
181173,Statistik,Erfassung,WORD,Liste,Darstellungng
328702,immerhin,WORD,Naja,NA,Miittelmäßig
12657,Norm,WORD,Form,Struktur,Gedetz
335869,jagen,WORD,Pfeil,Waffe,Neandertaler/Steinzeit
200337,Henne,Huhn,Ei,WORD,wei0
34020,Erfüllung,Zufriedenheit,erfülllt sein,WORD,satisfy
61176,eindeutig,klar,WORD,unmissverständlich,uninterpretierbar
161584,daddeln,spielen,Playstation,WORD,Jungs
252564,prima,WORD,Vera,NA,prima victoria(song)
28810,Kaiser,WORD,Krone,Thron,willhelm
167330,Schlüssel,WORD,Tür,Klingel,Gerosch
276295,Heizung,wärme,Winter,WORD,enerie
150655,Kopfkino,WORD,NA,NA,Schmuddelig
380971,Wespe,Stich,WORD,gefährlich,gelb/schwarz
124488,rechnen,WORD,Alltag,Bildungsstand,Dyskalkolie
395667,Bademantel,flauschig,Frottee,WORD,kuschelig
156972,einstufen,WORD,Klassifizierung,Schule,test(en)
51192,Berücksichtigung,acht geben,Risiken,WORD,inbetracht ziehen
139297,Braunkohl,WORD,Braunkohle,Gemüse,Grühnkohl
252094,Fantasie,bunt,WORD,Geschichte,llebendig
309915,Baumwolle,T-Shirt,hoher Wassergebrauch,WORD,tierfreundlichere Alternative
375358,klatschen,Applaus,WORD,Klatschmohn,auf's Wasser klatchen
88059,Funk,fernsehen,WORD,wellen,Walkie talkie
271234,Veranstaltung,Smalltalk,Ansprache,WORD,Snacks
322069,Kasten,Holz,WORD,Kiste,Kuste
101967,Fotografie,Bilder,WORD,Abbild,fotoaparat
89448,Kreide,Tafel,Wolf,WORD,Kreischgeräusch
14597,Wirklichkeit,schön,WORD,wütend machend,angsteinflößend
296428,biegen,WORD,köpergewicht,wiegen,metal+
75061,positionieren,Stellung nehmen,WORD,Entscheidung,Klarkeit
121405,Australien,WORD,Kontintent,Kängurus,Down Under
401806,Märchen,WORD,NA,NA,Kiindheit
20143,wissenschaftlich,Professur,Wissen,WORD,Intellektualität
224391,sexy,WORD,Sixpack,rot,Brad Pitt
378452,Fräse,Maschine,WORD,fräsen,habdwerker
57876,stellen,WORD,absetzen,NA,hinpflanzen
149927,bewundern,Leben,Freiwillige,WORD,Taj Mahal
5858,nötig,brauchen,dringend,WORD,vorraussetzung
390090,heben,WORD,NA,NA,entgegen der Scwerkraft
