id_r,cue,resp_1,resp_2,resp_3,incorrect,human_correction,issue
73315,Schleifpapier,Oberflächen bearbeiten,WORD,entgraten,fein/grobkörnig,fein,
262581,Dorf,klein,weniger Menschen,WORD,Dorfsmuseum,Dorfmuseum ,
129350,Schau,Ereignis,besonders,WORD,Erinnerunh,Erinnerung ,
278002,innen,AUSSEN,WORD,drinnen,internal,internal ,
227314,Entscheidungen,falsch,richtig,WORD,unwiederuflich,unwiderruflich,
111794,Rum,WORD,Brasilien,Seefahrer,Rumkugeln,Rumkugeln,
126835,Panflöte,Pan,Fußgängerzone,WORD,El Condor pasa,El Condor Pasa,
212421,Niere,Urin,WORD,NA,Saure nierndln,Saure Nieren ,
291522,Oberfläche,flach,sauber,WORD,glat,glatt,
48712,Haltung,WORD,Stolz,aufrecht,Posture,posture,
188482,Teufel,Hase,WORD,grinsen,gewieft,gewieft,
227890,Hohn,Spott,WORD,Gemeinheit,Monbing,Mobbing,
176659,nachdenken,sinnieren,WORD,verweilen,kontemplieren,kontemplieren,
87112,Sauerkraut,WORD,saurr,Mittagessen,igitt,igitt,
49067,Helmut,Schmidt,Kohl,WORD,Bundeskkanzler,Bundeskanzeler ,
88336,Vereinigte Staaten von Amerika,Russland,WORD,Waffe,Hot dog,Hot Dog,
186540,Seminar,Uni,WORD,Workshop,Clinic,clinic,
328595,hochheben,WORD,NA,NA,lüpfen,lüpfen ,
12657,Norm,WORD,Form,Struktur,Gedetz,Gesetz,
335523,Taschentuch,WORD,WEISS,Tempo,Scnupfen,Schnupfen,
213777,Ewigkeit,Gott,Transzendenz,WORD,Zeitlichkeit,Zeitlichkeit ,
46713,Phase,Pubertät,Krankheit,WORD,Erwachsenwerden,Erwachsenwerden ,
69826,Kreide,Tafel,WORD,weiß,Der Wold und die 7 Geißlein,Der Wolf und die 7 Geißlein ,
173166,Karotte,essen,orange,WORD,knackig,knackig ,
252195,Manager,WORD,Führungskraft,NA,Profitgeier,Profitgeier,
28810,Kaiser,WORD,Krone,Thron,willhelm,Willhelm ,
167222,Schauspieler,WORD,NA,NA,brad pitt,Brad Pitt,
288273,sachlich,Zeitungsartikel,Bewerbungsbrief,WORD,beobachten7ö,beobachten ,
150627,Sexualität,WORD,Fortpflanzung,Instinkt,Bedürfniss,Bedürfnis ,
384915,duschen,Wasser,WORD,nass,schampoo,Shampoo,
124378,katastrophal,WORD,Tod,Unfall,Zunami,Tsunami,
156873,Fleischer,WORD,"theke, käufer, Schürze","aspik, leber, lyoner","wur, blut, Darm metzger, Messer",Wurst,
62823,praktisch,nutzvoll,brauchbar,WORD,anwendungsbezogen,anwendungsbezogen ,
139194,Zweifler,WORD,hinterfragen,Überzeugung,hinb,hin,
257413,ungesund,Alkohol,WORD,Drogen,Fast food,Fast Food,
317710,Haken,Fisch,Sache,WORD,hänken,hängen,
380148,Zoo,Tycoon,WORD,Tierpark,Arche Wader,Arche Warder,
91376,katastrophal,Reportage,WORD,News,Sensationalisierung,Sensationalisierung,
282743,Kranich,Großer grauer Vogel,Zugvogel,WORD,Teichfische-Dieb,Teichfische-Dieb,
326875,verlässlich,ich,WORD,Freundin,Vetrauen,Vertrauen ,
105858,Verstand,Genie,WORD,Wahnsinn,phisik,Physik ,
97750,E-Gitarre,laut,Bass,WORD,Subwoover,Subwoofer,
19459,deutlich,genau,WORD,spezifisch,eundeutig,eindeutig ,
296226,Los Angeles,WORD,Hollywood,Schauspieler,amreika,Amerika ,
80006,Artikulation,Logopädie,WORD,Sigmatismus,Phonetik- Phonologie,Phonetik,
121390,Lettland,WORD,Schnee,Lappen,Schüttelreime von Mike Krüger,Schüttelreime von Mike Krüger,
846,Ursache,Grund,WORD,Wirkung,Prinzip (principium),Prinzip ,
32313,sichtbar,unsichtbar,Tarnumhang,WORD,visible,visible ,
224186,Zauber,WORD,trank,Spruch,Harry potter,Harry Potter ,
382701,Eleganz,Schön,WORD,NA,Stylisch,stylisch ,
57876,stellen,WORD,absetzen,NA,hinpflanzen,hinplanzen ,
160901,Fahrer,Auto,Bus,WORD,chaffeur,Chauffeur,
18774,Universität,Hochschule,Studium,WORD,Alma mater,Alma Mater,
389822,Spaß,WORD,Radfahren,Boarding,Urluab,Urlaub ,
334908,Abgeordnete,Politik,Bundestag,WORD,Politike,Politiker,
219636,Pfanne,WORD,Herd,Hitze,esssen,essen ,
339706,Tagebuch,Anne Franck,WORD,Menstruation,Diaryslam,Diary Slam,
252444,Brötchen,Semmel,WORD,NA,Frühstpck,Frühstück,
361457,Fläche,Furßballfeld,WORD,Ebene,Breite * Länge,Breite mal Länge,
128658,beeindrucken,alles geben,guten Eindruck machen,WORD,anderes Geschlech,anderes Geschlecht ,
130407,Teamgeist,Kooperation,WORD,Synergie,Teamspirit,team spirit,
345677,blond,WORD,Wasserstoff,NA,Marilyn montoe,Marilyn Monroe,
159473,Pädagoge,Mann,WORD,Kinder,Theorielastig,theorielastig,
320997,streicheln,liebkosen,Katze,WORD,behutsan,behutsam,
302072,fegen,sauber machen,Schornsteinfeger,WORD,30. Geburtstag/Rathaus,30. Geburtstag ,
52437,Vermittlung,Telefon,Schlichter,WORD,Ausmitteln,Ausmitteln,
240165,komisch,lachen,Cabaret,WORD,runzlich,runzelig,
292818,Bachelor,WORD,Single,jung,rtl+,RTL+,
79075,Kongress,WORD,interessant,teuer,dbl,dbl ,
11899,treten,schlagen,Fahrrad,WORD,betetn,betreten ,
195768,Abbild,Ähnlichkeit,Vergleich,WORD,abpauschen,abpausen,
