id_r,cue,resp_1,resp_2,resp_3,incorrect
219,Richard,WORD,Löwenherz,Wagner,v. Weitzäcker
247,individuell,WORD,Tatoo,sich nach außen tragen,ausgeflipt
300,Wirkung,WORD,Drogen,Alkohol,Homoöpathie
303,Anfang,WORD,Mut,Angst,Wise Guys
363,Teil,WORD,Gruppe,Ordung,Teil von etw. sein
431,Organisation,WORD,Beratung,Verein,Organisations Entwicklung Entwicklung
609,Argument,WORD,Gespräch,Rhetorik,Diskussoin
627,John,WORD,Johnny,präkerer Vorname,Cranko Academie
642,Mensch,WORD,ärgere dich nicht,Werdung,Homo sapiens
661,Marketing,WORD,TV,teuer,Werbungh
663,Maß,WORD,Band,maßvoll,Bier ;)
722,Steuerung,WORD,Auto,Handy,Nitendo
858,Gesellschaft,WORD,Regeln,Ausdifferenzierung,"Theorien, Rousseau"
869,überwiegend,WORD,zum größeren Teil,schwer,meintens
891,sichtbar,WORD,sehen,erkennbar,visible
1353,Gesundheit,WORD,Arzt,Medikamente,hatschi
1372,stellen,WORD,Möbel,absetzen,Representant
1476,Soziologie,WORD,gesellschaftliche Strukturen,Meso Ebene,Laberfach
1509,Seele,WORD,Geist,NA,Korper
1553,Oktober,WORD,bunte Blätter,Wind,Montat
1554,Tendenz,WORD,Vermutung,Annahme,Rcihtung
1752,frei,WORD,Vogel,Möglichkeiten,unbeschwerd
1766,Hause,WORD,Unknown,Unknown,Word unknown
2019,Bedeutung,WORD,NA,NA,meaning
2025,Anforderung,WORD,fordern,benötigen,requis
2099,Instrument,WORD,questionaire,Method,Reschersche
2103,plötzlich,WORD,aus dem Himmel,ungewusst,unversehens
2147,Unterscheidung,WORD,anders,verschieden,Differentation
2225,Qualität,WORD,Sicherung,Kleidung,Managament
2241,erwähnen,WORD,mündlich,Wörter,beiäufig
2275,erkennen,WORD,sehen,Gehirn,erinneren
2328,Arbeiter,WORD,Brotwerwerb,NA,Proletatier
2388,beobachten,WORD,wahrnehmen,untersuchen,Ereignise
2394,Kommission,WORD,Ausschuss,Komitee,Abortnung
2427,Zeitschrift,WORD,"PM, Neon etc",Psychologie heute - wann kommt die neue raus,"Promis, uninteressant"
2431,hören,WORD,Musik,laut,"sehen, fühlen, riechen"
2526,Gesicht,WORD,Merkmal,Persönlichkeit,Anlitz
2550,August,WORD,Geburtstag,Laubblätter,Red Hot Chili Peppers
2569,Phase,WORD,Zeitraum,NA,Abschnit
2611,nötig,WORD,Harndrang,wichtig,überlebenswichtig
2637,Verfügung,WORD,Gericht,Erlaubnis,Machr
2717,Hinsicht,WORD,Art und weise,Tellerrand,draufblick
2779,Jude,WORD,Israel,Cartman,Michal Negrin
2783,aktiv,WORD,Bewegung,dabei,flegmatisch
2851,Rom,WORD,teuer,voll,Collosseum
2983,Großbritannien,WORD,Meer,nettleham,bakedbeans
2984,zitieren,WORD,Guttenberg,Medien,zitierrichtlinien
2997,unabhängig,WORD,frei sein,NA,eits Erklärung
3016,nennen,WORD,aufzählen,sagen,benamen
3078,Fähigkeit,WORD,ausbauen,Üben,Vertigkeit
3112,Oxford,WORD,Wörterbuch,England,Universiät
3221,Berücksichtigung,WORD,tiefgründig,sozial,vorrausschauend
3298,kulturell,WORD,gebildet,tolerant,intelektuell
3360,Vermittlung,WORD,durchstellen,helfen,rüberbringen
3379,Frankreich,WORD,Paris,Eifelturm,Baguett
3487,bezeichnen,WORD,Name,Umschreibung,nummerrieren
3565,Paris,WORD,Eifelturm,Baguette,Luvre
3628,Vorschlag,WORD,gerecht,wichtig,diskusion
3629,Revolution,WORD,Chaos,friedliche,viva la
3663,Leser,WORD,prädiger,Interessent,retoriker
3744,Punkt,WORD,NA,für Punkt,"komma, strich"
3801,Interesse,WORD,Hobbys,reden,Einfühlsamkeit
3810,erfahren,WORD,bewandert,versiert,ausgebufft
3827,wichtig,WORD,eilig,unbedingt,auffälig
3851,Personal,WORD,Teeküche,Chef,Peronalrat
3856,leisten,WORD,Leistung,Dienstleistungsgesellschaft,sich belonen
4056,notwendig,WORD,Anleitung,verhalten,keit
4063,Gebiet,WORD,Fläche,Einfluss,Hohheits
4158,Klasse,WORD,arm,reich,Gesellschafft
4169,religiös,WORD,katholisch,orthodox,sakulär
4220,Jahrhundert,WORD,Zeitrechnung,einundzwanzigstes,Kalendar
4239,Rechnung,WORD,hoch,begleichen,bzeahlen
4453,Jude,WORD,Holocaust,Israel,Ausschwitz
4458,Vorteil,WORD,überrumpeln,ausspielen,Voteilsnahme
4643,Forschung,WORD,Uni,Medizin,Microskop
4715,Ressource,WORD,Energie,Rohstoffe,Wassr
4854,Internet,WORD,WLAN,ich,high speed
4922,ursprünglich,WORD,natürlich,rückständig,Ausggangszustand
4987,erfüllen,WORD,schön,Zeit,Berdürfnis
5060,vergessen,WORD,verdödeln,entfallen,verpeilen
5114,Opfer,WORD,Gewalt,Straßenbahn,Nazionalsozialismus
5506,lokal,WORD,Stadtviertel,Lebensmittel,Lokal/Bar
5553,Methode,WORD,Schule,NA,Metohodik
5578,Widerspruch,WORD,Meinungen,NA,Conflikt
5595,Stellung,WORD,beziehen,Position,nahme
5642,Verhalten,WORD,gutes,NA,schelchtes
5743,Handlung,WORD,Theater,aktiv,unternehmenslustig
5861,Charakter,WORD,Merkmale,Eigenschaften,Big Five
5919,Richard,WORD,King,Wagner,Weitzäcker
5953,arbeiten,WORD,hart,Job,Fließenleger
5955,USA,WORD,günstiges FastFood,Obama,Breaking Bad
5969,Spiegel,WORD,NA,NA,Spieglein
6110,Theorie,WORD,Albert Einstein,Gedankenblase,The Big Bang Theory
6380,Management,WORD,Kostüm,NA,Buisness
6499,Beratung,WORD,Lebensberatung,Beratungshonorar,beratungsresistent
6506,Wirklichkeit,WORD,realitätsnah,falsch,wirklichkeitsfern
6509,Grad,WORD,bogen,maß,gradwanderung
6581,Jude,WORD,Religion,Witze,Bar Mizwar
6682,Ressource,WORD,Quelle,Rohstoffe,Human Resources
6748,allgemein,WORD,General,gültig,überindividuell
6749,Gesundheit,WORD,Krankenkasse,Geburtstag,hatschi
6765,übernehmen,WORD,überfordern,übersetzen,Verwantwortung
6987,Software,WORD,Hardware,maintenance,Open source
6990,Erfolg,WORD,Geheimnis,Geld,Gewinnertreppchen
6993,erkennen,WORD,einsehen,Sex,vestehen
7010,Interpretation,WORD,herauslesen,Umberto Eco,hineinlesen
7021,Rolle,WORD,Habitus,rundes Gebäckstück,Fadenaufbewahrung
7024,Rahmenbedingung,WORD,Möglichkeit,Fenster,Politikersprech
7042,Georg,WORD,George (W.) Bush,Georgien,"St Georg, Drachentöter"
7045,Carl,WORD,Name,Geschichte,von Ossietzki
7053,Minute,WORD,Unterteilung des Längengrades,klein,60tel einer Stunde
7089,praktisch,WORD,Praxis,Übung,theorisch
7113,Erwartung,WORD,Vorstellung,Idee,Expekt
7167,deutlich,WORD,laut,klar,distinguiert
7296,Dank,WORD,NA,NA,sich für etw. bedanken
7437,Anwendung,WORD,Nutzen,wozu,Use
7450,tatsächlich,WORD,unbedingt,wirklich,aufjedenfall
7554,Organisation,WORD,Banden,Weltverbesserer,Non-Pofit
7592,Partei,WORD,Parlament,Piraten,Politk
7642,Hintergrund,WORD,Wissen,Bild,Vordergund
7732,Natur,WORD,im Freien,wild,natrürlich
7799,Rudolf,WORD,Weihnachtsmann,Schlitten,Rehntier
7835,reden,WORD,Ernsthaftigkeit,Zigarette,"sprechen, sagen"
7839,Schutz,WORD,Polizei,Freiheit,"Dach, Haus"
7844,Faktor,WORD,Term,Traktor,"Mathematik, Multiplikation"
7922,Werbung,WORD,lästig,Internet,Fehrnsehen
8028,weiter,WORD,gut,schnell,forwärts
8185,Philosophie,WORD,Gelaber,Reden,Wesiheit
