GENESIS-Tabelle: 12411-0013
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.12.2023;unter 1 Jahr;50205;47919;98124;59936;56699;116635;16994;16230;33224;8222;7847;16069;3265;3122;6387;9040;8686;17726;27648;26022;53670;5081;4615;9696;34202;32775;66977;78952;75100;154052;17663;16949;34612;3933;3815;7748;13485;12728;26213;6900;6598;13498;11480;10799;22279;6617;6322;12939
31.12.2023;1-Jährige;54874;51876;106750;65084;61910;126994;18092;16859;34951;9521;8923;18444;3397;3167;6564;9538;9057;18595;29838;28494;58332;5754;5442;11196;37736;35866;73602;86082;81644;167726;19311;18357;37668;4110;3984;8094;15314;14556;29870;7676;7368;15044;12755;12064;24819;7431;7011;14442
31.12.2023;2-Jährige;59641;57623;117264;70767;67282;138049;19730;18613;38343;10852;10334;21186;3578;3359;6937;10226;9834;20060;32801;30603;63404;6474;6222;12696;41441;39185;80626;93336;88119;181455;20874;20016;40890;4472;4332;8804;17459;16387;33846;8806;8219;17025;13899;13080;26979;8367;7811;16178
31.12.2023;3-Jährige;57730;54391;112121;68157;65004;133161;19193;18178;37371;11325;10586;21911;3551;3361;6912;9870;9228;19098;31803;30063;61866;6817;6282;13099;40583;38412;78995;91531;86302;177833;20563;19654;40217;4465;4170;8635;17859;16953;34812;8949;8524;17473;13621;13049;26670;8724;8258;16982
31.12.2023;4-Jährige;58105;55165;113270;68006;64644;132650;19183;18174;37357;11743;11165;22908;3794;3426;7220;9865;9387;19252;32207;30365;62572;7060;6792;13852;40829;39053;79882;91910;86998;178908;20598;19702;40300;4488;4173;8661;18535;17746;36281;9313;8756;18069;13882;13159;27041;8976;8702;17678
31.12.2023;5-Jährige;58717;56081;114798;68174;65023;133197;19203;18251;37454;12450;11661;24111;3630;3527;7157;9969;9402;19371;32873;31168;64041;7340;6977;14317;41451;39102;80553;93751;88869;182620;21032;20051;41083;4532;4202;8734;19408;18363;37771;9638;9317;18955;14361;13595;27956;9506;9052;18558
31.12.2023;6-Jährige;58609;55888;114497;68133;65221;133354;19320;18271;37591;12885;12295;25180;3648;3363;7011;10078;9416;19494;32999;31324;64323;7455;7139;14594;41515;39718;81233;94398;88743;183141;21496;20078;41574;4656;4403;9059;20124;19299;39423;10160;9462;19622;14439;13750;28189;9902;9478;19380
31.12.2023;7-Jährige;59012;55606;114618;68063;64719;132782;19408;18617;38025;13393;12695;26088;3572;3404;6976;9933;9658;19591;33361;31815;65176;7579;7452;15031;41882;40010;81892;94764;90225;184989;21548;20307;41855;4507;4519;9026;20630;19671;40301;10385;9683;20068;14652;14086;28738;10073;9748;19821
31.12.2023;8-Jährige;56949;54723;111672;66134;62972;129106;18955;17672;36627;12936;12137;25073;3607;3280;6887;9623;9227;18850;32731;30697;63428;7836;7386;15222;40909;38433;79342;92148;86686;178834;20683;19616;40299;4573;4157;8730;20651;19351;40002;10019;9596;19615;14281;13423;27704;10340;9585;19925
31.12.2023;9-Jährige;56634;53157;109791;65321;61648;126969;18564;17785;36349;13135;12579;25714;3512;3263;6775;9401;9078;18479;31831;30462;62293;7716;7307;15023;40957;38309;79266;90894;85886;176780;20302;19288;39590;4460;4270;8730;20483;19486;39969;10313;9595;19908;14088;13695;27783;10392;9802;20194
31.12.2023;10-Jährige;54859;51643;106502;63091;60682;123773;17976;16878;34854;12615;11864;24479;3247;3098;6345;9090;8680;17770;31078;29439;60517;7536;7278;14814;38859;37017;75876;87748;81700;169448;19553;18696;38249;4330;3942;8272;20199;18790;38989;9937;9476;19413;13874;13105;26979;10163;9650;19813
31.12.2023;11-Jährige;54287;51269;105556;63333;59562;122895;17930;16953;34883;12693;12211;24904;3262;3013;6275;9029;8487;17516;31122;29067;60189;7708;7222;14930;38914;36677;75591;87685;82849;170534;19516;18219;37735;4305;4039;8344;20014;19059;39073;10024;9516;19540;14110;13326;27436;10185;9530;19715
31.12.2023;12-Jährige;53318;50500;103818;61133;57528;118661;17134;16086;33220;12441;11893;24334;3103;2827;5930;8551;8108;16659;30966;29133;60099;7602;7238;14840;38161;36139;74300;85515;80809;166324;19303;18117;37420;4433;4115;8548;19779;18616;38395;9873;9219;19092;13578;13026;26604;9942;9427;19369
31.12.2023;13-Jährige;54904;51583;106487;61933;58513;120446;17325;16426;33751;12981;11993;24974;3216;3039;6255;8729;8188;16917;31209;29848;61057;7807;7532;15339;39603;37100;76703;87909;82643;170552;19592;18449;38041;4353;4186;8539;19864;19020;38884;9899;9504;19403;14263;13455;27718;10128;9593;19721
31.12.2023;14-Jährige;54370;51286;105656;61279;57793;119072;17105;16185;33290;12433;11758;24191;3287;3034;6321;8692;7964;16656;31199;29213;60412;7631;7434;15065;39183;36721;75904;87018;81602;168620;19310;18019;37329;4367;4137;8504;19620;18197;37817;9911;9246;19157;14239;13180;27419;9583;9306;18889
31.12.2023;15-Jährige;55741;52543;108284;63137;59398;122535;17384;16151;33535;12735;11936;24671;3236;3092;6328;8911;8250;17161;31715;29914;61629;7739;7328;15067;40215;37900;78115;90486;84141;174627;20058;18596;38654;4528;4218;8746;19763;18542;38305;10235;9535;19770;14272;13748;28020;10065;9302;19367
31.12.2023;16-Jährige;56168;52654;108822;63505;59223;122728;17116;15672;32788;12444;11505;23949;3485;3164;6649;8945;8056;17001;32318;29453;61771;7492;7079;14571;40869;37450;78319;90739;83756;174495;20189;18406;38595;4449;4141;8590;19353;17906;37259;9970;9169;19139;14746;13544;28290;9887;8982;18869
31.12.2023;17-Jährige;56395;51853;108248;63164;57791;120955;16592;15495;32087;11910;10857;22767;3522;3094;6616;9143;7928;17071;31778;29214;60992;7510;6772;14282;40878;37152;78030;90552;82753;173305;19966;17930;37896;4555;3969;8524;18568;17127;35695;9865;8568;18433;14640;13383;28023;9457;8436;17893
31.12.2023;18-Jährige;58460;53520;111980;65552;59510;125062;17188;15539;32727;11689;10477;22166;3707;3074;6781;9312;8342;17654;33423;29888;63311;7104;6638;13742;41859;38351;80210;92844;83811;176655;20365;18600;38965;4685;4237;8922;18992;17416;36408;9775;8890;18665;14709;13497;28206;9608;8677;18285
31.12.2023;19-Jährige;61572;55422;116994;68790;62746;131536;17797;16628;34425;11745;10277;22022;3698;3378;7076;9480;9025;18505;34290;31359;65649;7542;6926;14468;42996;40167;83163;95304;87046;182350;21122;19086;40208;4808;4309;9117;19671;18150;37821;10162;8910;19072;15203;14014;29217;10008;9099;19107
31.12.2023;20-Jährige;62296;57010;119306;70423;64703;135126;17971;18027;35998;11419;9882;21301;3750;3816;7566;9678;9719;19397;33961;31824;65785;7304;6875;14179;42599;39952;82551;96494;89559;186053;21016;19249;40265;4755;4359;9114;19216;18162;37378;9797;8763;18560;15057;13993;29050;9723;8848;18571
31.12.2023;21-Jährige;64026;58379;122405;73067;66382;139449;19159;19231;38390;11152;9713;20865;3930;3822;7752;10229;10410;20639;34891;32005;66896;7341;6773;14114;44116;40480;84596;99793;92675;192468;21411;19721;41132;5003;4356;9359;19403;18320;37723;10213;8913;19126;15216;14215;29431;9905;9003;18908
31.12.2023;22-Jährige;65889;59700;125589;76872;68276;145148;20178;20632;40810;11158;9458;20616;4358;4148;8506;11084;11255;22339;36547;33471;70018;7526;6890;14416;45848;41959;87807;103579;95992;199571;22414;20315;42729;5103;4536;9639;20381;18318;38699;10421;9055;19476;15711;14438;30149;10283;9188;19471
31.12.2023;23-Jährige;70288;63344;133632;82203;73505;155708;22795;22749;45544;11361;9847;21208;4735;4410;9145;12553;12298;24851;38852;35613;74465;7945;7009;14954;49181;43969;93150;110349;101082;211431;23932;21598;45530;5469;4848;10317;21587;19406;40993;11006;9230;20236;16711;15147;31858;10703;9105;19808
31.12.2023;24-Jährige;72643;63593;136236;85955;74532;160487;24159;24129;48288;11292;9467;20759;5131;4596;9727;13221;13051;26272;40158;35834;75992;7530;6590;14120;49631;44060;93691;112839;102304;215143;24434;21811;46245;5563;5025;10588;21151;18715;39866;10976;8939;19915;17258;15169;32427;10651;8701;19352
