cue,n_corrected,n_raw
ARD,28,25
Abbau,18,15
Abbild,21,14
Abbildung,26,21
Abend,202,174
Abendessen,67,54
Abendkleid,14,12
Abenteuer,203,164
Abfall,135,106
Abgabe,38,36
Abgase,50,45
Abgeordnete,27,26
Abgrenzung,67,53
Abgrund,38,29
Abhang,6,4
Abhängigkeit,81,61
Abitur,154,136
Ablage,58,46
Ablauf,87,79
Ablehnung,79,70
Ablenkung,30,26
Abmachung,90,80
Absage,36,36
Absatz,47,45
Abschied,138,133
Abschluss,274,216
Abschnitt,76,75
Absender,17,12
Absicht,77,68
Absperrung,33,26
Absprache,46,39
Abstand,109,86
Abstimmung,72,65
Absturz,47,39
Abteil,19,15
Abteilung,33,30
Abwechslung,24,20
Abwehr,63,51
Abwesenheit,20,19
Abzieher,0,0
Achse,7,7
Achtsamkeit,50,41
Achtung,165,132
Acker,73,73
Addition,40,37
Adel,166,164
Ader,7,4
Adjektiv,62,49
Adler,36,30
Adrenalin,51,45
Adresse,140,113
Affe,139,111
Afghanistan,16,9
Afrika,550,449
Agent,54,46
Aggression,70,58
Ahle,1,1
Ahnen,35,35
Ahnung,52,47
Ahorn,30,23
Akademie,9,7
Akademiker,24,20
Akkordeon,17,14
Akten,83,67
Akteur,4,4
Aktie,25,20
Aktien,92,76
Aktion,126,109
Aktivierung,2,2
Aktivität,59,50
Akzent,36,24
Akzeptanz,66,49
Alarm,38,29
Album,31,25
Algerien,9,8
Alkohol,949,744
Allergie,59,49
Allgemeinbildung,8,8
Alltag,131,109
Alpen,109,92
Altblockflöte,0,0
Alter,579,576
Alternative,52,52
Altertum,31,27
Alzheimer,66,54
Amazon,73,53
Amboss,20,15
Ameise,27,20
Amerika,304,247
Amerikaner,12,9
Ampel,121,101
Amsel,34,25
Amt,274,233
Analyse,84,75
Anbau,23,19
Anden,38,33
Andenken,32,25
Andersdenkende,3,3
Anerkennung,133,116
Anfang,375,308
Anforderung,47,42
Anfrage,15,15
Anführer,26,20
Anführungszeichen,12,10
Angabe,39,32
Angaben,11,11
Angeber,79,66
Angebot,148,129
Angeklagter,28,28
Angela Merkel,36,32
Angelegenheit,17,17
Angesicht,2,1
Angestellter,42,40
Angriff,72,72
Angst,1322,1306
Anhang,22,18
Anhöhe,2,1
Anker,23,17
Anklage,52,51
Ankunft,38,31
Anlage,35,27
Anlass,53,43
Anlaufstelle,5,3
Anleitung,122,99
Anmeldung,17,14
Annahme,90,75
Anorak,11,7
Anordnung,27,24
Anrede,27,26
Anregung,7,5
Anrichte,10,10
Anruf,40,38
Ansatz,20,17
Anschaulichkeit,2,2
Anschluss,15,8
Anschrift,19,19
Ansicht,100,91
Anspannung,46,38
Ansporn,21,18
Anspruch,57,50
Anstalt,11,11
Anstand,73,72
Anstreicher,5,4
Anstrengen,1,1
Anstrengung,274,225
Anteil,66,63
Anteilnahme,29,26
Antike,64,64
Antipode,4,2
Antrag,47,39
Antrieb,62,61
Antwort,246,189
Anwalt,243,201
Anweisung,65,54
Anwendung,32,30
Anwesenheit,32,25
Anzahl,82,73
Anzeige,31,30
Anziehung,59,46
Anzug,401,327
Apfelsaft,25,14
Apotheke,85,73
Apotheker,4,2
Appetit,23,19
Applaus,105,87
April,54,46
Aprilscherz,5,4
Arbeit,3002,2412
Arbeiter,131,108
Arbeitgeber,67,54
Arbeitnehmer,36,28
Arbeitsgruppe,13,12
Arbeitsklima,3,2
Arbeitsplatz,56,53
Arbeitsplatzsicherheit,0,0
Arbeitsstelle,19,18
Architekt,50,40
Architektur,106,85
Archiv,23,21
Argentinien,12,4
Argument,116,96
Argumentation,36,33
Argumente,78,67
Aristokratie,8,7
Arm,180,180
Armee,191,155
Armut,346,280
Arroganz,60,49
Arsch,82,69
Arschloch,53,46
Art,144,125
Artikel,127,109
Artikulation,11,7
Artischocke,2,2
Arznei,28,26
Arzt,958,782
Arztbesuch,8,7
Asche,42,36
Asien,243,199
Aspekt,21,19
Asphalt,44,41
Assoziation,58,47
Ast,76,64
Asyl,57,42
Atem,37,32
Atmung,32,28
Atom,57,49
Aubergine,11,8
Aufbau,54,49
Aufbewahrung,45,31
Aufbruch,34,29
Aufenthalt,23,20
Auffassung,13,10
Aufführung,36,32
Aufgabe,481,410
Aufgang,4,4
Aufklärung,42,35
Auflage,9,9
Aufmachung,3,3
Aufmerksamkeit,199,165
Aufnahme,29,25
Aufregung,167,142
Aufsatz,97,84
Aufstand,36,36
Aufstieg,24,23
Auftakt,5,5
Auftrag,49,43
Auftritt,46,46
Aufwand,87,69
Aufzug,67,54
Aufzählung,35,32
Auge,322,273
Augen,445,357
Augenblick,59,50
Augenfarbe,7,6
August,27,26
Ausbau,8,8
Ausbeutung,52,47
Ausbildung,262,229
Ausblick,62,57
Ausdauer,138,112
Ausdruck,113,96
Auseinandersetzung,68,52
Ausfall,25,23
Ausflug,109,94
Ausfluss,4,2
Ausführung,30,24
Ausgabe,28,23
Ausgang,98,83
Ausgeglichenheit,24,23
Ausgleich,50,46
Ausgrenzung,30,26
Auskunft,37,35
Ausland,176,140
Ausländer,171,132
Ausmaß,21,11
Ausnahme,43,38
Ausrede,55,55
Ausrichtung,14,12
Aussage,90,89
Ausschuss,20,18
Aussehen,144,142
Aussicht,199,169
Aussprache,51,43
Ausstattung,9,9
Ausstellung,85,77
Ausstieg,14,14
Ausstrahlung,72,61
Austausch,136,113
Australien,101,81
Auswahl,242,195
Ausweg,24,22
Ausweis,84,64
Auswertung,29,23
Auswirkung,24,19
Auszeichnung,71,66
Ausübung,3,2
Auto,2466,1954
Autobahn,230,183
Autofahren,58,44
Autofahrer,7,7
Autor,148,135
Autorität,114,94
Autos,181,157
Autostopp,0,0
Axt,52,47
BH,56,48
BRD,25,23
BWL,31,30
Baby,607,486
Bach,108,98
Bachelor,39,29
Bad,139,116
Badeanzug,16,14
Badehose,11,8
Bademantel,4,3
Baden-Württemberg,37,30
Badewanne,56,44
Badezimmer,93,81
Bagger,37,37
Baguette,53,45
Bahn,235,235
Bahnhof,182,160
Bakterien,49,39
Balance,107,86
